name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1986 Hungarian Grand Prix 🇭🇺,2:00:34.508,11,76,Williams 🇬🇧,1986-08-10T00:00:00.000Z,Nelson Piquet 🇧🇷,1986
1987 Hungarian Grand Prix 🇭🇺,1:59:26.793,9,76,Williams 🇬🇧,1987-08-09T00:00:00.000Z,Nelson Piquet 🇧🇷,1987
1988 Hungarian Grand Prix 🇭🇺,1:57:47.081,10,76,McLaren 🇬🇧,1988-08-07T00:00:00.000Z,Ayrton Senna 🇧🇷,1988
1989 Hungarian Grand Prix 🇭🇺,1:49:38.650,10,77,Ferrari 🇮🇹,1989-08-13T00:00:00.000Z,Nigel Mansell 🇬🇧,1989
1990 Hungarian Grand Prix 🇭🇺,1:49:30.597,10,77,Williams 🇬🇧,1990-08-12T00:00:00.000Z,Thierry Boutsen 🇧🇪,1990
1991 Hungarian Grand Prix 🇭🇺,1:49:12.796,10,77,McLaren 🇬🇧,1991-08-11T00:00:00.000Z,Ayrton Senna 🇧🇷,1991
1992 Hungarian Grand Prix 🇭🇺,1:46:19.216,11,77,McLaren 🇬🇧,1992-08-16T00:00:00.000Z,Ayrton Senna 🇧🇷,1992
1993 Hungarian Grand Prix 🇭🇺,1:47:39.098,11,77,Williams 🇬🇧,1993-08-15T00:00:00.000Z,Damon Hill 🇬🇧,1993
1994 Hungarian Grand Prix 🇭🇺,1:48:00.185,10,77,Benetton 🇮🇹,1994-08-14T00:00:00.000Z,Michael Schumacher 🇩🇪,1994
1995 Hungarian Grand Prix 🇭🇺,1:46:25.721,10,77,Williams 🇬🇧,1995-08-13T00:00:00.000Z,Damon Hill 🇬🇧,1995
1996 Hungarian Grand Prix 🇭🇺,1:46:21.134,12,77,Williams 🇬🇧,1996-08-11T00:00:00.000Z,Jacques Villeneuve 🇨🇦,1996
1997 Hungarian Grand Prix 🇭🇺,1:45:47.149,11,77,Williams 🇬🇧,1997-08-10T00:00:00.000Z,Jacques Villeneuve 🇨🇦,1997
1998 Hungarian Grand Prix 🇭🇺,1:45:26.4,12,77,Ferrari 🇮🇹,1998-08-16T00:00:00.000Z,Michael Schumacher 🇩🇪,1998
1999 Hungarian Grand Prix 🇭🇺,1:46:23.536,11,77,McLaren 🇬🇧,1999-08-15T00:00:00.000Z,Mika Häkkinen 🇫🇮,1999
2000 Hungarian Grand Prix 🇭🇺,1:45:33.869,12,77,McLaren 🇬🇧,2000-08-13T00:00:00.000Z,Mika Häkkinen 🇫🇮,2000
2001 Hungarian Grand Prix 🇭🇺,1:41:49.675,13,77,Ferrari 🇮🇹,2001-08-19T00:00:00.000Z,Michael Schumacher 🇩🇪,2001
2002 Hungarian Grand Prix 🇭🇺,1:41:49.001,13,77,Ferrari 🇮🇹,2002-08-18T00:00:00.000Z,Rubens Barrichello 🇧🇷,2002
2003 Hungarian Grand Prix 🇭🇺,1:39:01.460,13,70,Renault 🇫🇷,2003-08-24T00:00:00.000Z,Fernando Alonso 🇪🇸,2003
2004 Hungarian Grand Prix 🇭🇺,1:35:26.131,13,70,Ferrari 🇮🇹,2004-08-15T00:00:00.000Z,Michael Schumacher 🇩🇪,2004
2005 Hungarian Grand Prix 🇭🇺,1:37:25.552,13,70,McLaren 🇬🇧,2005-07-31T00:00:00.000Z,Kimi Räikkönen 🇫🇮,2005
2006 Hungarian Grand Prix 🇭🇺,1:52:20.941,13,70,Honda 🇯🇵,2006-08-06T00:00:00.000Z,Jenson Button 🇬🇧,2006
2007 Hungarian Grand Prix 🇭🇺,1:35:52.991,11,70,McLaren 🇬🇧,2007-08-05T00:00:00.000Z,Lewis Hamilton 🇬🇧,2007
2008 Hungarian Grand Prix 🇭🇺,1:37:27.067,11,70,McLaren 🇬🇧,2008-08-03T00:00:00.000Z,Heikki Kovalainen 🇫🇮,2008
2009 Hungarian Grand Prix 🇭🇺,1:38:23.876,10,70,McLaren 🇬🇧,2009-07-26T00:00:00.000Z,Lewis Hamilton 🇬🇧,2009
2010 Hungarian Grand Prix 🇭🇺,1:41:05.571,12,70,Red Bull 🇦🇹,2010-08-01T00:00:00.000Z,Mark Webber 🇦🇺,2010
2011 Hungarian Grand Prix 🇭🇺,1:46:42.337,11,70,McLaren 🇬🇧,2011-07-31T00:00:00.000Z,Jenson Button 🇬🇧,2011
2012 Hungarian Grand Prix 🇭🇺,1:41:05.503,11,69,McLaren 🇬🇧,2012-07-29T00:00:00.000Z,Lewis Hamilton 🇬🇧,2012
2013 Hungarian Grand Prix 🇭🇺,1:42:29.445,10,70,Mercedes 🇩🇪,2013-07-28T00:00:00.000Z,Lewis Hamilton 🇬🇧,2013
2014 Hungarian Grand Prix 🇭🇺,1:53:05.058,11,70,Red Bull 🇦🇹,2014-07-27T00:00:00.000Z,Daniel Ricciardo 🇦🇺,2014
2015 Hungarian Grand Prix 🇭🇺,1:46:09.985,10,69,Ferrari 🇮🇹,2015-07-26T00:00:00.000Z,Sebastian Vettel 🇩🇪,2015
2016 Hungarian Grand Prix 🇭🇺,1:40:30.115,11,70,Mercedes 🇩🇪,2016-07-24T00:00:00.000Z,Lewis Hamilton 🇬🇧,2016
2017 Hungarian Grand Prix 🇭🇺,,11,,,2017-07-30T00:00:00.000Z,,2017
