name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1978 Brazilian Grand Prix 🇧🇷,1:49:59.86,2,63,Ferrari 🇮🇹,1978-01-29T00:00:00.000Z,Carlos Reutemann 🇦🇷,1978
1981 Brazilian Grand Prix 🇧🇷,2:00:23.66,2,62,Williams 🇬🇧,1981-03-29T00:00:00.000Z,Carlos Reutemann 🇦🇷,1981
1982 Brazilian Grand Prix 🇧🇷,1:44:33.134,2,63,Renault 🇫🇷,1982-03-21T00:00:00.000Z,Alain Prost 🇫🇷,1982
1983 Brazilian Grand Prix 🇧🇷,1:48:27.731,1,63,Brabham 🇬🇧,1983-03-13T00:00:00.000Z,Nelson Piquet 🇧🇷,1983
1984 Brazilian Grand Prix 🇧🇷,1:42:34.492,1,61,McLaren 🇬🇧,1984-03-25T00:00:00.000Z,Alain Prost 🇫🇷,1984
1985 Brazilian Grand Prix 🇧🇷,1:41:26.115,1,61,McLaren 🇬🇧,1985-04-07T00:00:00.000Z,Alain Prost 🇫🇷,1985
1986 Brazilian Grand Prix 🇧🇷,1:39:32.583,1,61,Williams 🇬🇧,1986-03-23T00:00:00.000Z,Nelson Piquet 🇧🇷,1986
1987 Brazilian Grand Prix 🇧🇷,1:39:45.141,1,61,McLaren 🇬🇧,1987-04-12T00:00:00.000Z,Alain Prost 🇫🇷,1987
1988 Brazilian Grand Prix 🇧🇷,1:36:06.857,1,60,McLaren 🇬🇧,1988-04-03T00:00:00.000Z,Alain Prost 🇫🇷,1988
1989 Brazilian Grand Prix 🇧🇷,1:38:58.744,1,61,Ferrari 🇮🇹,1989-03-26T00:00:00.000Z,Nigel Mansell 🇬🇧,1989
