participations,driverref,points,dob,did_not_start,last_win,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,wins,forename,finished_in_points,country
1,vic_wilson,0.0,1931-04-14,1,,0,1966-06-12,,0,🇬🇧,Wilson,gb,,0,0,,0,0,1966-06-12,0,0,1966,0,Vic,0,UK
1,solana,0.0,1935-12-26,0,,0,1966-10-23,,0,🇲🇽,Solana,mx,,0,1,,0,0,1966-10-23,0,0,1966,0,Moisés,0,Mexico
1,phil_hill,0.0,1927-04-20,1,,0,1966-09-04,,0,🇺🇸,Hill,us,,0,0,,0,0,1966-09-04,0,0,1966,0,Phil,0,USA
1,baghetti,0.0,1934-12-25,0,,0,1966-09-04,,0,🇮🇹,Baghetti,it,,0,1,,0,0,1966-09-04,0,0,1966,0,Giancarlo,0,Italy
1,irwin,0.0,1942-06-27,0,,0,1966-07-16,,0,🇬🇧,Irwin,gb,,1,0,,0,1,1966-07-16,0,0,1966,0,Chris,0,UK
1,trevor_taylor,0.0,1936-12-26,0,,0,1966-07-16,,0,🇬🇧,Taylor,gb,,0,1,,0,0,1966-07-16,0,0,1966,0,Trevor,0,UK
1,geki,0.0,1937-10-23,0,,0,1966-09-04,,0,🇮🇹,Russo,it,,1,0,,0,1,1966-09-04,0,0,1966,0,Giacomo,0,Italy
2,scarfiotti,9.0,1933-10-18,0,1966-09-04,1,1966-09-04,,0,🇮🇹,Scarfiotti,it,,1,1,1966-09-04,0,1,1966-08-07,0,0,1966,1,Ludovico,1,Italy
2,amon,0.0,1943-07-20,1,,0,1966-09-04,,0,🇳🇿,Amon,nz,,1,0,,0,1,1966-07-03,0,0,1966,0,Chris,0,New Zealand
2,lawrence,0.0,1933-07-27,0,,0,1966-08-07,,0,🇬🇧,Lawrence,gb,,0,1,,0,1,1966-07-16,0,0,1966,0,Chris,0,UK
2,ireland,0.0,1930-06-12,0,,0,1966-10-23,,0,🇬🇧,Ireland,gb,,0,2,,0,0,1966-10-02,0,0,1966,0,Innes,0,UK
2,bucknum,0.0,1936-04-05,0,,0,1966-10-23,,0,🇺🇸,Bucknum,us,,1,1,,0,1,1966-10-02,0,0,1966,0,Ronnie,0,USA
3,rodriguez,0.0,1940-01-18,0,,0,1966-10-23,,0,🇲🇽,Rodríguez,mx,,0,3,,0,0,1966-07-03,0,0,1966,0,Pedro,0,Mexico
4,parkes,12.0,1931-09-24,0,,2,1966-09-04,,0,🇬🇧,Parkes,gb,,2,2,,0,2,1966-07-03,1,0,1966,0,Mike,2,UK
4,taylor,1.0,1933-03-23,0,,0,1966-08-07,,0,🇬🇧,Taylor,gb,,3,1,,0,3,1966-07-03,0,0,1966,0,John,1,UK
5,mclaren,3.0,1937-08-30,1,,0,1966-10-23,,0,🇳🇿,McLaren,nz,,2,2,,0,2,1966-05-22,0,0,1966,0,Bruce,2,New Zealand
5,ginther,5.0,1930-08-05,0,,0,1966-10-23,,0,🇺🇸,Ginther,us,,2,3,,0,2,1966-05-22,0,0,1966,0,Richie,2,USA
6,ligier,0.0,1930-07-12,1,,0,1966-08-07,,0,🇫🇷,Ligier,fr,,2,3,,0,2,1966-05-22,0,0,1966,0,Guy,0,France
6,anderson,1.0,1931-05-19,0,,0,1966-09-04,,0,🇬🇧,Anderson,gb,,2,4,,0,2,1966-05-22,0,0,1966,0,Bob,1,UK
7,bondurant,3.0,1933-04-27,0,,0,1966-10-23,,0,🇺🇸,Bondurant,us,,3,4,,0,3,1966-05-22,0,0,1966,0,Bob,1,USA
7,bandini,12.0,1935-12-21,0,,2,1966-10-02,,0,🇮🇹,Bandini,it,,4,3,,0,4,1966-05-22,1,0,1966,0,Lorenzo,4,Italy
8,siffert,3.0,1936-07-12,0,,0,1966-10-23,,0,🇨🇭,Siffert,ch,,1,7,,0,1,1966-05-22,0,0,1966,0,Jo,1,Switzerland
8,spence,4.0,1936-12-30,0,,0,1966-10-02,,0,🇬🇧,Spence,gb,,2,6,,0,2,1966-05-22,0,0,1966,0,Mike,2,UK
8,gurney,4.0,1931-04-13,0,,0,1966-10-23,,0,🇺🇸,Gurney,us,,3,5,,0,3,1966-06-12,0,0,1966,0,Dan,2,USA
8,arundell,1.0,1933-11-08,1,,0,1966-10-23,,0,🇬🇧,Arundell,gb,,4,3,,0,4,1966-06-12,0,0,1966,0,Peter,1,UK
8,stewart,14.0,1939-06-11,0,1966-05-22,1,1966-10-23,,0,🇬🇧,Stewart,gb,,3,5,1966-05-22,0,3,1966-05-22,0,0,1966,1,Jackie,3,UK
8,clark,16.0,1936-03-04,0,1966-10-02,2,1966-10-23,,0,🇬🇧,Clark,gb,,3,5,1966-10-02,0,3,1966-05-22,2,0,1966,1,Jim,3,UK
9,jack_brabham,45.0,1926-04-02,0,1966-08-07,5,1966-10-23,,1,🇦🇺,Brabham,au,,6,3,1966-07-03,0,6,1966-05-22,3,0,1966,4,Jack,6,Australia
9,rindt,24.0,1942-04-18,0,,3,1966-10-23,,0,🇦🇹,Rindt,at,,6,3,,0,6,1966-05-22,0,0,1966,0,Jochen,6,Austria
9,hulme,18.0,1936-06-18,0,,4,1966-10-23,,0,🇳🇿,Hulme,nz,,4,5,,0,4,1966-05-22,0,0,1966,0,Denny,4,New Zealand
9,hill,17.0,1929-02-15,0,,3,1966-10-23,,0,🇬🇧,Hill,gb,,4,5,,0,4,1966-05-22,0,0,1966,0,Graham,4,UK
9,bonnier,1.0,1930-01-31,0,,0,1966-10-23,,0,🇸🇪,Bonnier,se,,2,7,,0,2,1966-05-22,0,0,1966,0,Jo,1,Sweden
9,surtees,28.0,1934-02-11,0,1966-10-23,4,1966-10-23,,0,🇬🇧,Surtees,gb,,4,5,1966-06-12,0,4,1966-05-22,2,1,1966,2,John,4,UK
