1950,0.00%
1951,0.00%
1952,0.00%
1953,0.00%
1954,0.00%
1955,0.00%
1956,0.00%
1957,0.00%
1958,18.53%
1959,18.52%
1960,20.34%
1961,22.50%
1962,18.67%
1963,21.95%
1964,18.00%
1965,21.60%
1966,19.00%
1967,22.91%
1968,20.81%
1969,24.00%
1970,18.21%
1971,26.55%
1972,20.33%
1973,24.53%
1974,19.47%
1975,22.31%
1976,20.75%
1977,22.35%
1978,21.50%
1979,30.13%
1980,34.29%
1981,25.33%
1982,18.55%
1983,24.12%
1984,37.42%
1985,22.50%
1986,35.25%
1987,34.42%
1988,49.75%
1989,35.25%
1990,30.25%
1991,34.49%
1992,39.42%
1993,40.38%
1994,28.37%
1995,33.26%
1996,42.07%
1997,27.83%
1998,37.50%
1999,30.77%
2000,38.46%
2001,40.50%
2002,50.00%
2003,25.32%
2004,37.32%
2005,25.88%
2006,29.34%
2007,30.77%
2008,24.50%
2009,26.73%
2010,25.95%
2011,33.87%
2012,22.77%
2013,31.06%
2014,34.70%
2015,36.63%
2016,36.07%
2017,0.00%
