name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1953 Argentine Grand Prix 🇦🇷,3:01:04.6,1,97,Ferrari 🇮🇹,1953-01-18T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Alberto Ascari 🇮🇹,1953
1954 Argentine Grand Prix 🇦🇷,3:00:55.8,1,87,Maserati 🇮🇹,1954-01-17T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Juan Fangio 🇦🇷,1954
1955 Argentine Grand Prix 🇦🇷,3:00:38.6,1,96,Mercedes 🇩🇪,1955-01-16T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Juan Fangio 🇦🇷,1955
1956 Argentine Grand Prix 🇦🇷,3:00:03.7,1,98,Ferrari 🇮🇹,1956-01-22T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Juan Fangio 🇦🇷,1956
1957 Argentine Grand Prix 🇦🇷,3:00:55.9,1,100,Maserati 🇮🇹,1957-01-13T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Juan Fangio 🇦🇷,1957
1958 Argentine Grand Prix 🇦🇷,2:19:33.7,1,80,Cooper 🇬🇧,1958-01-19T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Stirling Moss 🇬🇧,1958
1960 Argentine Grand Prix 🇦🇷,2:17:49.5,1,80,Cooper-Climax 🇬🇧,1960-02-07T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Bruce McLaren 🇳🇿,1960
1972 Argentine Grand Prix 🇦🇷,1:57:59.1,1,95,Tyrrell 🇬🇧,1972-01-23T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Jackie Stewart 🇬🇧,1972
1973 Argentine Grand Prix 🇦🇷,1:56:18.22,1,96,Team Lotus 🇬🇧,1973-01-28T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Emerson Fittipaldi 🇧🇷,1973
1974 Argentine Grand Prix 🇦🇷,1:41:02.01,1,53,McLaren 🇬🇧,1974-01-13T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Denny Hulme 🇳🇿,1974
1975 Argentine Grand Prix 🇦🇷,1:39:26.29,1,53,McLaren 🇬🇧,1975-01-12T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Emerson Fittipaldi 🇧🇷,1975
1977 Argentine Grand Prix 🇦🇷,1:40:11.19,1,53,Wolf 🇨🇦,1977-01-09T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Jody Scheckter 🇿🇦,1977
1978 Argentine Grand Prix 🇦🇷,1:37:04.47,1,52,Team Lotus 🇬🇧,1978-01-15T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Mario Andretti 🇺🇸,1978
1979 Argentine Grand Prix 🇦🇷,1:36:03.21,1,53,Ligier 🇫🇷,1979-01-21T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Jacques Laffite 🇫🇷,1979
1980 Argentine Grand Prix 🇦🇷,1:43:24.38,1,53,Williams 🇬🇧,1980-01-13T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Alan Jones 🇦🇺,1980
1981 Argentine Grand Prix 🇦🇷,1:34:32.74,3,53,Brabham 🇬🇧,1981-04-12T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Nelson Piquet 🇧🇷,1981
1995 Argentine Grand Prix 🇦🇷,1:53:14.532,2,72,Williams 🇬🇧,1995-04-09T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Damon Hill 🇬🇧,1995
1996 Argentine Grand Prix 🇦🇷,1:54:55.322,3,72,Williams 🇬🇧,1996-04-07T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Damon Hill 🇬🇧,1996
1997 Argentine Grand Prix 🇦🇷,1:52:01.715,3,72,Williams 🇬🇧,1997-04-13T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Jacques Villeneuve 🇨🇦,1997
1998 Argentine Grand Prix 🇦🇷,1:48:36.1,3,72,Ferrari 🇮🇹,1998-04-12T00:00:00.000Z,Autódromo Juan y Oscar Gálvez,Michael Schumacher 🇩🇪,1998
