name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1952 Dutch Grand Prix 🇳🇱,2:53:28.5,7,90,Ferrari 🇮🇹,1952-08-17,Alberto Ascari 🇮🇹,1952
1953 Dutch Grand Prix 🇳🇱,2:53:35.8,3,90,Ferrari 🇮🇹,1953-06-07,Alberto Ascari 🇮🇹,1953
1955 Dutch Grand Prix 🇳🇱,2:54:23.8,5,100,Mercedes 🇩🇪,1955-06-19,Juan Fangio 🇦🇷,1955
1958 Dutch Grand Prix 🇳🇱,2:04:49.2,3,75,Vanwall 🇬🇧,1958-05-26,Stirling Moss 🇬🇧,1958
1959 Dutch Grand Prix 🇳🇱,2:05:26.8,3,75,BRM 🇬🇧,1959-05-31,Jo Bonnier 🇸🇪,1959
1960 Dutch Grand Prix 🇳🇱,2:01:47.2,4,75,Cooper-Climax 🇬🇧,1960-06-06,Jack Brabham 🇦🇺,1960
1961 Dutch Grand Prix 🇳🇱,2:01:52.1,2,75,Ferrari 🇮🇹,1961-05-22,Wolfgang von Trips 🇩🇪,1961
1962 Dutch Grand Prix 🇳🇱,2:11:02.1,1,80,BRM 🇬🇧,1962-05-20,Graham Hill 🇬🇧,1962
1963 Dutch Grand Prix 🇳🇱,2:08:13.7,3,80,Lotus-Climax 🇬🇧,1963-06-23,Jim Clark 🇬🇧,1963
1964 Dutch Grand Prix 🇳🇱,2:07:35.4,2,80,Lotus-Climax 🇬🇧,1964-05-24,Jim Clark 🇬🇧,1964
1965 Dutch Grand Prix 🇳🇱,2:03:59.1,6,80,Lotus-Climax 🇬🇧,1965-07-18,Jim Clark 🇬🇧,1965
1966 Dutch Grand Prix 🇳🇱,2:20:32.5,5,90,Brabham-Repco 🇬🇧,1966-07-24,Jack Brabham 🇦🇺,1966
1967 Dutch Grand Prix 🇳🇱,2:14:45.1,3,90,Lotus-Ford 🇬🇧,1967-06-04,Jim Clark 🇬🇧,1967
1968 Dutch Grand Prix 🇳🇱,2:46:11.2,5,90,Matra-Ford 🇫🇷,1968-06-23,Jackie Stewart 🇬🇧,1968
1969 Dutch Grand Prix 🇳🇱,2:06:42.08,4,90,Matra-Ford 🇫🇷,1969-06-21,Jackie Stewart 🇬🇧,1969
1970 Dutch Grand Prix 🇳🇱,1:50:43.4,5,80,Team Lotus 🇬🇧,1970-06-21,Jochen Rindt 🇦🇹,1970
1971 Dutch Grand Prix 🇳🇱,1:56:20.0,4,70,Ferrari 🇮🇹,1971-06-20,Jacky Ickx 🇧🇪,1971
1973 Dutch Grand Prix 🇳🇱,1:39:12.45,10,72,Tyrrell 🇬🇧,1973-07-29,Jackie Stewart 🇬🇧,1973
1974 Dutch Grand Prix 🇳🇱,1:43:00.35,8,75,Ferrari 🇮🇹,1974-06-23,Niki Lauda 🇦🇹,1974
1975 Dutch Grand Prix 🇳🇱,1:46:57.40,8,75,Hesketh 🇬🇧,1975-06-22,James Hunt 🇬🇧,1975
1976 Dutch Grand Prix 🇳🇱,1:44:52.09,12,75,McLaren 🇬🇧,1976-08-29,James Hunt 🇬🇧,1976
1977 Dutch Grand Prix 🇳🇱,1:41:45.93,13,75,Ferrari 🇮🇹,1977-08-28,Niki Lauda 🇦🇹,1977
1978 Dutch Grand Prix 🇳🇱,1:41:04.23,13,75,Team Lotus 🇬🇧,1978-08-27,Mario Andretti 🇺🇸,1978
1979 Dutch Grand Prix 🇳🇱,1:41:19.775,12,75,Williams 🇬🇧,1979-08-26,Alan Jones 🇦🇺,1979
1980 Dutch Grand Prix 🇳🇱,1:38:13.83,11,72,Brabham 🇬🇧,1980-08-31,Nelson Piquet 🇧🇷,1980
1981 Dutch Grand Prix 🇳🇱,1:40:22.43,12,72,Renault 🇫🇷,1981-08-30,Alain Prost 🇫🇷,1981
1982 Dutch Grand Prix 🇳🇱,1:38:03.254,9,72,Ferrari 🇮🇹,1982-07-03,Didier Pironi 🇫🇷,1982
1983 Dutch Grand Prix 🇳🇱,1:38:41.950,12,72,Ferrari 🇮🇹,1983-08-28,René Arnoux 🇫🇷,1983
1984 Dutch Grand Prix 🇳🇱,1:37:21.468,13,71,McLaren 🇬🇧,1984-08-26,Alain Prost 🇫🇷,1984
1985 Dutch Grand Prix 🇳🇱,1:32:29.263,11,70,McLaren 🇬🇧,1985-08-25,Niki Lauda 🇦🇹,1985
