name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2000 Austrian Grand Prix 🇦🇹,7,21,2000-07-16T00:00:00.000Z,11,2000,Johnny Herbert 🇬🇧,Jaguar 🇬🇧,10,16,69,,0.0
2001 Australian Grand Prix 🇦🇺,11,21,2001-03-04T00:00:00.000Z,8,2001,Eddie Irvine 🇬🇧,Jaguar 🇬🇧,1,12,57,,0.0
2001 Austrian Grand Prix 🇦🇹,10,17,2001-05-13T00:00:00.000Z,11,2001,Jean Alesi 🇫🇷,Prost 🇫🇷,6,20,69,,0.0
2001 Belgian Grand Prix 🇧🇪,9,18,2001-09-02T00:00:00.000Z,R,2001,Heinz-Harald Frentzen 🇩🇪,Prost 🇫🇷,14,4,0,,0.0
2001 Brazilian Grand Prix 🇧🇷,R,14,2001-04-01T00:00:00.000Z,R,2001,Eddie Irvine 🇬🇧,Jaguar 🇬🇧,3,13,30,,0.0
2001 British Grand Prix 🇬🇧,11,16,2001-07-15T00:00:00.000Z,R,2001,Jean Alesi 🇫🇷,Prost 🇫🇷,11,14,6,,0.0
2001 Canadian Grand Prix 🇨🇦,5,19,2001-06-10T00:00:00.000Z,8,2001,Jean Alesi 🇫🇷,Prost 🇫🇷,8,16,68,,0.0
2001 European Grand Prix 🇩🇪,15,17,2001-06-24T00:00:00.000Z,12,2001,Jean Alesi 🇫🇷,Prost 🇫🇷,9,14,65,,0.0
2001 French Grand Prix 🇫🇷,12,15,2001-07-01T00:00:00.000Z,10,2001,Jean Alesi 🇫🇷,Prost 🇫🇷,10,19,71,,0.0
2001 German Grand Prix 🇩🇪,6,16,2001-07-29T00:00:00.000Z,R,2001,Jean Alesi 🇫🇷,Prost 🇫🇷,12,14,23,,0.0
2001 Hungarian Grand Prix 🇭🇺,R,19,2001-08-19T00:00:00.000Z,R,2001,Heinz-Harald Frentzen 🇩🇪,Prost 🇫🇷,13,16,8,,0.0
2001 Malaysian Grand Prix 🇲🇾,R,15,2001-03-18T00:00:00.000Z,10,2001,Eddie Irvine 🇬🇧,Jaguar 🇬🇧,2,12,54,,0.0
2001 Monaco Grand Prix 🇲🇨,6,21,2001-05-27T00:00:00.000Z,R,2001,Jean Alesi 🇫🇷,Prost 🇫🇷,7,11,24,,0.0
2001 San Marino Grand Prix 🇮🇹,R,15,2001-04-15T00:00:00.000Z,11,2001,Eddie Irvine 🇬🇧,Jaguar 🇬🇧,4,13,60,,0.0
2001 Spanish Grand Prix 🇪🇸,10,14,2001-04-29T00:00:00.000Z,11,2001,Jean Alesi 🇫🇷,Prost 🇫🇷,5,15,64,,0.0
