name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1983 Austrian Grand Prix 🇦🇹,11,26,1983-08-14T00:00:00.000Z,10,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,11,25,50,,0.0
1983 Belgian Grand Prix 🇧🇪,F,24,1983-05-22T00:00:00.000Z,R,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,6,0,19,,0.0
1983 Brazilian Grand Prix 🇧🇷,F,24,1983-03-13T00:00:00.000Z,R,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,1,0,17,,0.0
1983 British Grand Prix 🇬🇧,R,0,1983-07-16T00:00:00.000Z,F,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,9,26,0,,0.0
1983 Canadian Grand Prix 🇨🇦,F,25,1983-06-12T00:00:00.000Z,R,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,8,0,26,,0.0
1983 Detroit Grand Prix 🇺🇸,R,0,1983-06-05T00:00:00.000Z,W,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,7,24,0,,0.0
1983 Dutch Grand Prix 🇳🇱,F,25,1983-08-28T00:00:00.000Z,11,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,12,0,68,,0.0
1983 European Grand Prix 🇬🇧,R,0,1983-09-25T00:00:00.000Z,F,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,14,24,0,,0.0
1983 French Grand Prix 🇫🇷,F,23,1983-04-17T00:00:00.000Z,R,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,3,0,36,,0.0
1983 German Grand Prix 🇩🇪,R,0,1983-08-07T00:00:00.000Z,F,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,10,26,0,,0.0
1983 Italian Grand Prix 🇮🇹,R,25,1983-09-11T00:00:00.000Z,R,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,13,23,45,,0.0
1983 Monaco Grand Prix 🇲🇨,F,0,1983-05-15T00:00:00.000Z,F,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,5,0,0,,0.0
1983 San Marino Grand Prix 🇮🇹,F,26,1983-05-01T00:00:00.000Z,R,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,4,0,20,,0.0
1983 South African Grand Prix 🇿🇦,R,25,1983-10-15T00:00:00.000Z,R,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,15,26,28,,0.0
1983 United States Grand Prix West 🇺🇸,F,0,1983-03-27T00:00:00.000Z,F,1983,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,2,0,0,,0.0
1984 British Grand Prix 🇬🇧,7,14,1984-07-22T00:00:00.000Z,R,1984,Nelson Piquet 🇧🇷,Brabham 🇬🇧,10,1,9,,0.0
1984 Canadian Grand Prix 🇨🇦,1,16,1984-06-17T00:00:00.000Z,R,1984,Nelson Piquet 🇧🇷,Brabham 🇬🇧,7,1,39,,0.0
1984 Dallas Grand Prix 🇺🇸,R,11,1984-07-08T00:00:00.000Z,7,1984,Nelson Piquet 🇧🇷,Brabham 🇬🇧,9,12,64,,0.0
1984 Monaco Grand Prix 🇲🇨,R,15,1984-06-03T00:00:00.000Z,R,1984,Nelson Piquet 🇧🇷,Brabham 🇬🇧,6,9,9,,0.0
