participations,driverref,points,dob,did_not_start,last_win,driverid,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,wins,forename,finished_in_points,country
13,rosa,3.0,1971-02-24,0,,37,0,2001-10-14,,0,🇪🇸,de la Rosa,es,DLR,3,6,,0,7,2001-04-29,0,0,2001,0,Pedro,2,Spain
14,marques,0.0,1976-01-19,1,,58,0,2001-09-02,,0,🇧🇷,Marques,br,,2,7,,0,6,2001-03-04,0,0,2001,0,Tarso,0,Brazil
14,burti,0.0,1975-03-05,0,,54,0,2001-09-02,,0,🇧🇷,Burti,br,,4,6,,0,8,2001-03-04,0,0,2001,0,Luciano,0,Brazil
15,frentzen,6.0,1967-05-18,0,,49,0,2001-10-14,,0,🇩🇪,Frentzen,de,,7,6,,0,9,2001-03-04,0,0,2001,0,Heinz-Harald,3,Germany
17,michael_schumacher,123.0,1969-01-03,0,2001-10-14,30,14,2001-10-14,,1,🇩🇪,Schumacher,de,MSC,15,2,2001-03-04,0,15,2001-03-04,11,0,2001,9,Michael,15,Germany
17,alesi,5.0,1964-06-11,0,,55,0,2001-10-14,,0,🇫🇷,Alesi,fr,,13,1,,0,16,2001-03-04,0,0,2001,0,Jean,4,France
17,alonso,0.0,1981-07-29,0,,4,0,2001-10-14,14,0,🇪🇸,Alonso,es,ALO,1,8,,0,9,2001-03-04,0,0,2001,0,Fernando,0,Spain
17,barrichello,56.0,1972-05-23,0,,22,10,2001-10-14,,0,🇧🇷,Barrichello,br,BAR,13,3,,0,14,2001-03-04,0,0,2001,0,Rubens,13,Brazil
17,bernoldi,0.0,1978-10-19,0,,59,0,2001-10-14,,0,🇧🇷,Bernoldi,br,,3,10,,0,7,2001-03-04,0,0,2001,0,Enrique,0,Brazil
17,montoya,31.0,1975-09-20,0,2001-09-16,31,4,2001-10-14,,0,🇨🇴,Pablo Montoya,co,MON,6,11,2001-09-16,0,6,2001-03-04,3,0,2001,1,Juan,5,Colombia
17,button,2.0,1980-01-19,0,,18,0,2001-10-14,22,0,🇬🇧,Button,gb,BUT,5,6,,0,11,2001-03-04,0,0,2001,0,Jenson,1,UK
17,fisichella,8.0,1973-01-14,0,,21,1,2001-10-14,,0,🇮🇹,Fisichella,it,FIS,5,6,,0,11,2001-03-04,0,0,2001,0,Giancarlo,3,Italy
17,hakkinen,37.0,1968-09-28,0,2001-09-30,57,3,2001-10-14,,0,🇫🇮,Häkkinen,fi,,10,7,2001-07-15,0,10,2001-03-04,0,0,2001,2,Mika,9,Finland
17,heidfeld,12.0,1977-05-10,0,,2,1,2001-10-14,,0,🇩🇪,Heidfeld,de,HEI,10,6,,0,11,2001-03-04,0,0,2001,0,Nick,7,Germany
17,irvine,6.0,1965-11-10,0,,56,1,2001-10-14,,0,🇬🇧,Irvine,gb,,5,11,,0,6,2001-03-04,0,0,2001,0,Eddie,2,UK
17,coulthard,65.0,1971-03-27,0,2001-05-13,14,10,2001-10-14,,0,🇬🇧,Coulthard,gb,COU,13,4,2001-04-01,0,13,2001-03-04,2,1,2001,2,David,13,UK
17,panis,5.0,1966-09-02,0,,44,0,2001-10-14,,0,🇫🇷,Panis,fr,,8,6,,0,11,2001-03-04,0,0,2001,0,Olivier,2,France
17,raikkonen,9.0,1979-10-17,0,,8,0,2001-10-14,7,0,🇫🇮,Räikkönen,fi,RAI,10,7,,0,10,2001-03-04,0,0,2001,0,Kimi,4,Finland
17,ralf_schumacher,49.0,1975-06-30,0,2001-07-29,23,5,2001-10-14,,0,🇩🇪,Schumacher,de,SCH,10,7,2001-04-15,0,10,2001-03-04,1,0,2001,3,Ralf,9,Germany
17,trulli,12.0,1974-07-13,0,,15,0,2001-10-14,,0,🇮🇹,Trulli,it,TRU,7,9,,0,8,2001-03-04,0,0,2001,0,Jarno,5,Italy
17,verstappen,1.0,1972-03-04,0,,50,0,2001-10-14,,0,🇳🇱,Verstappen,nl,,8,5,,0,12,2001-03-04,0,0,2001,0,Jos,1,Netherlands
17,villeneuve,12.0,1971-04-09,0,,35,2,2001-10-14,,0,🇨🇦,Villeneuve,ca,VIL,11,6,,0,11,2001-03-04,0,0,2001,0,Jacques,4,Canada
2,zonta,0.0,1976-03-23,0,,41,0,2001-07-29,,0,🇧🇷,Zonta,br,ZON,1,1,,0,1,2001-06-10,0,0,2001,0,Ricardo,0,Brazil
3,enge,0.0,1976-09-11,0,,61,0,2001-10-14,,0,🇨🇿,Enge,cz,,0,1,,0,2,2001-09-16,0,0,2001,0,Tomáš,0,Czech Republic
3,yoong,0.0,1976-07-20,0,,62,0,2001-10-14,,0,🇲🇾,Yoong,my,,0,2,,0,1,2001-09-16,0,0,2001,0,Alex,0,Malaysia
4,mazzacane,0.0,1975-05-08,0,,60,0,2001-04-15,,0,🇦🇷,Mazzacane,ar,,0,3,,0,1,2001-03-04,0,0,2001,0,Gastón,0,Argentina
