name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1973 Belgian Grand Prix 🇧🇪,1:42:13.43,5,70,Tyrrell 🇬🇧,1973-05-20T00:00:00.000Z,Jackie Stewart 🇬🇧,1973
1975 Belgian Grand Prix 🇧🇪,1:43:53.98,6,70,Ferrari 🇮🇹,1975-05-25T00:00:00.000Z,Niki Lauda 🇦🇹,1975
1976 Belgian Grand Prix 🇧🇪,1:42:53.23,5,70,Ferrari 🇮🇹,1976-05-16T00:00:00.000Z,Niki Lauda 🇦🇹,1976
1977 Belgian Grand Prix 🇧🇪,1:55:05.71,7,70,Team Lotus 🇬🇧,1977-06-05T00:00:00.000Z,Gunnar Nilsson 🇸🇪,1977
1978 Belgian Grand Prix 🇧🇪,1:39:52.02,6,70,Team Lotus 🇬🇧,1978-05-21T00:00:00.000Z,Mario Andretti 🇺🇸,1978
1979 Belgian Grand Prix 🇧🇪,1:39:59.53,6,70,Ferrari 🇮🇹,1979-05-13T00:00:00.000Z,Jody Scheckter 🇿🇦,1979
1980 Belgian Grand Prix 🇧🇪,1:38:47.4,5,72,Ligier 🇫🇷,1980-05-04T00:00:00.000Z,Didier Pironi 🇫🇷,1980
1981 Belgian Grand Prix 🇧🇪,1:16:31.61,5,54,Williams 🇬🇧,1981-05-17T00:00:00.000Z,Carlos Reutemann 🇦🇷,1981
1982 Belgian Grand Prix 🇧🇪,1:35:41.995,5,70,McLaren 🇬🇧,1982-05-09T00:00:00.000Z,John Watson 🇬🇧,1982
1984 Belgian Grand Prix 🇧🇪,1:36:32.048,3,70,Ferrari 🇮🇹,1984-04-29T00:00:00.000Z,Michele Alboreto 🇮🇹,1984
