name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2015 Abu Dhabi Grand Prix 🇦🇪,18,20,2015-11-29T00:00:00.000Z,19,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,19,19,52,,0.0
2015 Austrian Grand Prix 🇦🇹,R,16,2015-06-21T00:00:00.000Z,14,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,8,17,68,,0.0
2015 Bahrain Grand Prix 🇧🇭,16,19,2015-04-19T00:00:00.000Z,17,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,4,18,54,,0.0
2015 Belgian Grand Prix 🇧🇪,16,17,2015-08-23T00:00:00.000Z,15,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,11,15,42,,0.0
2015 British Grand Prix 🇬🇧,13,20,2015-07-05T00:00:00.000Z,12,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,9,19,49,,0.0
2015 Canadian Grand Prix 🇨🇦,17,16,2015-06-07T00:00:00.000Z,R,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,7,17,57,,0.0
2015 Chinese Grand Prix 🇨🇳,15,20,2015-04-12T00:00:00.000Z,16,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,3,19,54,,0.0
2015 Hungarian Grand Prix 🇭🇺,16,19,2015-07-26T00:00:00.000Z,15,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,10,20,67,,0.0
2015 Italian Grand Prix 🇮🇹,15,14,2015-09-06T00:00:00.000Z,16,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,12,13,51,,0.0
2015 Malaysian Grand Prix 🇲🇾,W,19,2015-03-29T00:00:00.000Z,15,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,2,0,53,,0.0
2015 Monaco Grand Prix 🇲🇨,17,19,2015-05-24T00:00:00.000Z,16,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,6,18,76,,0.0
2015 Russian Grand Prix 🇷🇺,14,18,2015-10-11T00:00:00.000Z,13,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,15,17,52,,0.0
2015 Spanish Grand Prix 🇪🇸,17,20,2015-05-10T00:00:00.000Z,18,2015,Will Stevens 🇬🇧,Manor Marussia 🇬🇧,5,19,62,,0.0
