name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1951 German Grand Prix 🇩🇪,3:23:03.3,6,20,Ferrari 🇮🇹,1951-07-29T00:00:00.000Z,Alberto Ascari 🇮🇹,1951
1952 German Grand Prix 🇩🇪,3:06:13.3,6,18,Ferrari 🇮🇹,1952-08-03T00:00:00.000Z,Alberto Ascari 🇮🇹,1952
1953 German Grand Prix 🇩🇪,3:02:25.0,7,18,Ferrari 🇮🇹,1953-08-02T00:00:00.000Z,Nino Farina 🇮🇹,1953
1954 German Grand Prix 🇩🇪,3:45:45.8,6,22,Mercedes 🇩🇪,1954-08-01T00:00:00.000Z,Juan Fangio 🇦🇷,1954
1956 German Grand Prix 🇩🇪,3:38:43.7,7,22,Ferrari 🇮🇹,1956-08-05T00:00:00.000Z,Juan Fangio 🇦🇷,1956
1957 German Grand Prix 🇩🇪,3:30:38.3,6,22,Maserati 🇮🇹,1957-08-04T00:00:00.000Z,Juan Fangio 🇦🇷,1957
1958 German Grand Prix 🇩🇪,2:21:15.0,8,15,Vanwall 🇬🇧,1958-08-03T00:00:00.000Z,Tony Brooks 🇬🇧,1958
1961 German Grand Prix 🇩🇪,2:18:12.4,6,15,Lotus-Climax 🇬🇧,1961-08-06T00:00:00.000Z,Stirling Moss 🇬🇧,1961
1962 German Grand Prix 🇩🇪,2:38:45.3,6,15,BRM 🇬🇧,1962-08-05T00:00:00.000Z,Graham Hill 🇬🇧,1962
1963 German Grand Prix 🇩🇪,2:13:06.8,6,15,Ferrari 🇮🇹,1963-08-04T00:00:00.000Z,John Surtees 🇬🇧,1963
1964 German Grand Prix 🇩🇪,2:12:04.8,6,15,Ferrari 🇮🇹,1964-08-02T00:00:00.000Z,John Surtees 🇬🇧,1964
1965 German Grand Prix 🇩🇪,2:07:52.4,7,15,Lotus-Climax 🇬🇧,1965-08-01T00:00:00.000Z,Jim Clark 🇬🇧,1965
1966 German Grand Prix 🇩🇪,2:27:03.0,6,15,Brabham-Repco 🇬🇧,1966-08-07T00:00:00.000Z,Jack Brabham 🇦🇺,1966
1967 German Grand Prix 🇩🇪,2:05:55.7,7,15,Brabham-Repco 🇬🇧,1967-08-06T00:00:00.000Z,Denny Hulme 🇳🇿,1967
1968 German Grand Prix 🇩🇪,2:19:03.2,8,14,Matra-Ford 🇫🇷,1968-08-04T00:00:00.000Z,Jackie Stewart 🇬🇧,1968
1969 German Grand Prix 🇩🇪,1:49:55.4,7,14,Brabham-Ford 🇬🇧,1969-08-03T00:00:00.000Z,Jacky Ickx 🇧🇪,1969
1971 German Grand Prix 🇩🇪,1:29:16.3,7,12,Tyrrell 🇬🇧,1971-08-01T00:00:00.000Z,Jackie Stewart 🇬🇧,1971
1972 German Grand Prix 🇩🇪,1:42:12.3,8,14,Ferrari 🇮🇹,1972-07-30T00:00:00.000Z,Jacky Ickx 🇧🇪,1972
1973 German Grand Prix 🇩🇪,1:42:03.0,11,14,Tyrrell 🇬🇧,1973-08-05T00:00:00.000Z,Jackie Stewart 🇬🇧,1973
1974 German Grand Prix 🇩🇪,1:41:35.0,11,14,Ferrari 🇮🇹,1974-08-04T00:00:00.000Z,Clay Regazzoni 🇨🇭,1974
1975 German Grand Prix 🇩🇪,1:41:14.1,11,14,Brabham 🇬🇧,1975-08-03T00:00:00.000Z,Carlos Reutemann 🇦🇷,1975
1976 German Grand Prix 🇩🇪,1:41:42.7,10,14,McLaren 🇬🇧,1976-08-01T00:00:00.000Z,James Hunt 🇬🇧,1976
1984 European Grand Prix 🇩🇪,1:35:13.284,15,67,McLaren 🇬🇧,1984-10-07T00:00:00.000Z,Alain Prost 🇫🇷,1984
1985 German Grand Prix 🇩🇪,1:35:31.337,9,67,Ferrari 🇮🇹,1985-08-04T00:00:00.000Z,Michele Alboreto 🇮🇹,1985
1995 European Grand Prix 🇩🇪,1:39:59.044,14,67,Benetton 🇮🇹,1995-10-01T00:00:00.000Z,Michael Schumacher 🇩🇪,1995
1996 European Grand Prix 🇩🇪,1:33:26.473,4,67,Williams 🇬🇧,1996-04-28T00:00:00.000Z,Jacques Villeneuve 🇨🇦,1996
1997 Luxembourg Grand Prix 🇩🇪,1:31:27.843,15,67,Williams 🇬🇧,1997-09-28T00:00:00.000Z,Jacques Villeneuve 🇨🇦,1997
1998 Luxembourg Grand Prix 🇩🇪,1:32:14.789,15,67,McLaren 🇬🇧,1998-09-27T00:00:00.000Z,Mika Häkkinen 🇫🇮,1998
1999 European Grand Prix 🇩🇪,1:41:54.314,14,66,Stewart 🇬🇧,1999-09-26T00:00:00.000Z,Johnny Herbert 🇬🇧,1999
2000 European Grand Prix 🇩🇪,1:42:00.307,6,67,Ferrari 🇮🇹,2000-05-21T00:00:00.000Z,Michael Schumacher 🇩🇪,2000
2001 European Grand Prix 🇩🇪,1:29:42.724,9,67,Ferrari 🇮🇹,2001-06-24T00:00:00.000Z,Michael Schumacher 🇩🇪,2001
2002 European Grand Prix 🇩🇪,1:35:07.426,9,60,Ferrari 🇮🇹,2002-06-23T00:00:00.000Z,Rubens Barrichello 🇧🇷,2002
2003 European Grand Prix 🇩🇪,1:34:43.622,9,60,Williams 🇬🇧,2003-06-29T00:00:00.000Z,Ralf Schumacher 🇩🇪,2003
2004 European Grand Prix 🇩🇪,1:32:35.101,7,60,Ferrari 🇮🇹,2004-05-30T00:00:00.000Z,Michael Schumacher 🇩🇪,2004
2005 European Grand Prix 🇩🇪,1:31:46.648,7,59,Renault 🇫🇷,2005-05-29T00:00:00.000Z,Fernando Alonso 🇪🇸,2005
2006 European Grand Prix 🇩🇪,1:35:58.765,5,60,Ferrari 🇮🇹,2006-05-07T00:00:00.000Z,Michael Schumacher 🇩🇪,2006
2007 European Grand Prix 🇩🇪,2:06:26.358,10,60,McLaren 🇬🇧,2007-07-22T00:00:00.000Z,Fernando Alonso 🇪🇸,2007
