name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
2004 Bahrain Grand Prix 🇧🇭,1:28:34.875,3,57,Ferrari 🇮🇹,2004-04-04T00:00:00.000Z,Michael Schumacher 🇩🇪,2004
2005 Bahrain Grand Prix 🇧🇭,1:29:18.531,3,57,Renault 🇫🇷,2005-04-03T00:00:00.000Z,Fernando Alonso 🇪🇸,2005
2006 Bahrain Grand Prix 🇧🇭,1:29:46.205,1,57,Renault 🇫🇷,2006-03-12T00:00:00.000Z,Fernando Alonso 🇪🇸,2006
2007 Bahrain Grand Prix 🇧🇭,1:33:27.515,3,57,Ferrari 🇮🇹,2007-04-15T00:00:00.000Z,Felipe Massa 🇧🇷,2007
2008 Bahrain Grand Prix 🇧🇭,1:31:06.970,3,57,Ferrari 🇮🇹,2008-04-06T00:00:00.000Z,Felipe Massa 🇧🇷,2008
2009 Bahrain Grand Prix 🇧🇭,1:31:48.182,4,57,Brawn 🇬🇧,2009-04-26T00:00:00.000Z,Jenson Button 🇬🇧,2009
2010 Bahrain Grand Prix 🇧🇭,1:39:20.396,1,49,Ferrari 🇮🇹,2010-03-14T00:00:00.000Z,Fernando Alonso 🇪🇸,2010
2012 Bahrain Grand Prix 🇧🇭,1:35:10.990,4,57,Red Bull 🇦🇹,2012-04-22T00:00:00.000Z,Sebastian Vettel 🇩🇪,2012
2013 Bahrain Grand Prix 🇧🇭,1:36:00.498,4,57,Red Bull 🇦🇹,2013-04-21T00:00:00.000Z,Sebastian Vettel 🇩🇪,2013
2014 Bahrain Grand Prix 🇧🇭,1:39:42.743,3,57,Mercedes 🇩🇪,2014-04-06T00:00:00.000Z,Lewis Hamilton 🇬🇧,2014
2015 Bahrain Grand Prix 🇧🇭,1:35:05.809,4,57,Mercedes 🇩🇪,2015-04-19T00:00:00.000Z,Lewis Hamilton 🇬🇧,2015
2016 Bahrain Grand Prix 🇧🇭,1:33:34.696,2,57,Mercedes 🇩🇪,2016-04-03T00:00:00.000Z,Nico Rosberg 🇩🇪,2016
2017 Bahrain Grand Prix 🇧🇭,1:33:53.374,3,57,Ferrari 🇮🇹,2017-04-16T00:00:00.000Z,Sebastian Vettel 🇩🇪,2017
