name,race_duration,round,season,laps_completed
Canadian Grand Prix,1:31:05.296,7,2016,70
Canadian Grand Prix,1:31:53.145,7,2015,70
Canadian Grand Prix,1:39:12.830,7,2014,70
Canadian Grand Prix,1:32:09.143,7,2013,70
Canadian Grand Prix,1:32:29.586,7,2012,70
Canadian Grand Prix,4:04:39.537,7,2011,70
Canadian Grand Prix,1:33:53.456,8,2010,70
Canadian Grand Prix,1:36:24.227,7,2008,70
Canadian Grand Prix,1:44:11.292,6,2007,70
Canadian Grand Prix,1:34:37.308,9,2006,70
Canadian Grand Prix,1:28:24.803,8,2004,70
Canadian Grand Prix,1:31:13.591,8,2003,70
Canadian Grand Prix,1:33:36.111,8,2002,70
Canadian Grand Prix,1:34:31.522,8,2001,69
Canadian Grand Prix,1:41:12.313,8,2000,69
Canadian Grand Prix,1:41:35.727,6,1999,69
Canadian Grand Prix,1:40:57.3,7,1998,69
Canadian Grand Prix,1:17:40.646,7,1997,54
Canadian Grand Prix,1:36:03.4,8,1996,69
Canadian Grand Prix,1:44:54.171,6,1995,68
Canadian Grand Prix,1:44:32.1,6,1994,69
Canadian Grand Prix,1:36:41.822,7,1993,69
Canadian Grand Prix,1:37:08.299,7,1992,69
Canadian Grand Prix,1:38:51.490,5,1991,69
Canadian Grand Prix,1:42:56.400,5,1990,70
Canadian Grand Prix,2:01:24.073,6,1989,69
Canadian Grand Prix,1:39:46.618,5,1988,69
Canadian Grand Prix,1:42:26.415,6,1986,69
Canadian Grand Prix,1:46:01.813,5,1985,70
Canadian Grand Prix,1:46:23.748,7,1984,70
Canadian Grand Prix,1:48:31.838,8,1983,70
Canadian Grand Prix,1:46:39.577,8,1982,70
Canadian Grand Prix,2:01:25.20,14,1981,63
Canadian Grand Prix,1:46:45.53,13,1980,70
Canadian Grand Prix,1:52:06.892,14,1979,72
Canadian Grand Prix,1:57:49.196,16,1978,70
Canadian Grand Prix,1:32:09.290,8,2005,70
