name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2002 Australian Grand Prix 🇦🇺,6,16,2002-03-03T00:00:00.000Z,R,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,1,14,0,,0.0
2002 Austrian Grand Prix 🇦🇹,8,14,2002-05-12T00:00:00.000Z,9,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,6,10,71,+1:09.718,0.0
2002 Belgian Grand Prix 🇧🇪,7,13,2002-09-01T00:00:00.000Z,9,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,14,9,43,,0.0
2002 Brazilian Grand Prix 🇧🇷,6,16,2002-03-31T00:00:00.000Z,R,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,3,10,40,,0.0
2002 British Grand Prix 🇬🇧,R,15,2002-07-07T00:00:00.000Z,R,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,10,8,0,,0.0
2002 Canadian Grand Prix 🇨🇦,R,20,2002-06-09T00:00:00.000Z,R,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,8,18,45,,0.0
2002 European Grand Prix 🇩🇪,R,13,2002-06-23T00:00:00.000Z,14,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,9,10,59,,0.0
2002 French Grand Prix 🇫🇷,R,17,2002-07-21T00:00:00.000Z,11,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,11,16,65,,0.0
2002 German Grand Prix 🇩🇪,9,17,2002-07-28T00:00:00.000Z,R,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,12,19,23,,0.0
2002 Hungarian Grand Prix 🇭🇺,15,18,2002-08-18T00:00:00.000Z,14,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,13,17,75,,0.0
2002 Italian Grand Prix 🇮🇹,11,13,2002-09-15T00:00:00.000Z,R,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,15,10,12,,0.0
2002 Japanese Grand Prix 🇯🇵,8,18,2002-10-13T00:00:00.000Z,W,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,17,13,0,,0.0
2002 Malaysian Grand Prix 🇲🇾,12,19,2002-03-17T00:00:00.000Z,7,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,2,10,55,,0.0
2002 Monaco Grand Prix 🇲🇨,R,10,2002-05-26T00:00:00.000Z,R,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,7,9,15,,0.0
2002 San Marino Grand Prix 🇮🇹,R,17,2002-04-14T00:00:00.000Z,R,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,4,16,0,,0.0
2002 Spanish Grand Prix 🇪🇸,9,19,2002-04-28T00:00:00.000Z,8,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,5,17,64,,0.0
2002 United States Grand Prix 🇺🇸,14,16,2002-09-29T00:00:00.000Z,15,2002,Mika Salo 🇫🇮,Toyota 🇯🇵,16,19,71,,0.0
