name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2001 Italian Grand Prix 🇮🇹,13,22,2001-09-16T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,15,21,44,,0.0
2001 Japanese Grand Prix 🇯🇵,11,22,2001-10-14T00:00:00.000Z,16,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,17,18,50,,0.0
2001 United States Grand Prix 🇺🇸,R,22,2001-09-30T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,16,17,38,,0.0
2002 Australian Grand Prix 🇦🇺,5,21,2002-03-03T00:00:00.000Z,7,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,1,18,55,,0.0
2002 Austrian Grand Prix 🇦🇹,12,22,2002-05-12T00:00:00.000Z,R,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,6,21,42,,0.0
2002 Brazilian Grand Prix 🇧🇷,11,22,2002-03-31T00:00:00.000Z,13,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,3,20,67,,0.0
2002 Canadian Grand Prix 🇨🇦,11,22,2002-06-09T00:00:00.000Z,14,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,8,21,68,,0.0
2002 European Grand Prix 🇩🇪,15,22,2002-06-23T00:00:00.000Z,R,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,9,20,48,,0.0
2002 French Grand Prix 🇫🇷,8,19,2002-07-21T00:00:00.000Z,10,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,11,18,68,,0.0
2002 Italian Grand Prix 🇮🇹,R,20,2002-09-15T00:00:00.000Z,13,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,15,19,47,,0.0
2002 Japanese Grand Prix 🇯🇵,10,20,2002-10-13T00:00:00.000Z,R,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,17,19,14,,0.0
2002 Malaysian Grand Prix 🇲🇾,R,22,2002-03-17T00:00:00.000Z,R,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,2,21,29,,0.0
2002 Monaco Grand Prix 🇲🇨,11,22,2002-05-26T00:00:00.000Z,R,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,7,20,29,,0.0
2002 San Marino Grand Prix 🇮🇹,11,0,2002-04-14T00:00:00.000Z,F,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,4,19,0,,0.0
2002 Spanish Grand Prix 🇪🇸,W,21,2002-04-28T00:00:00.000Z,W,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,5,20,0,,0.0
2002 United States Grand Prix 🇺🇸,R,20,2002-09-29T00:00:00.000Z,R,2002,Mark Webber 🇦🇺,Minardi 🇮🇹,16,18,46,,0.0
