name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1981 Argentine Grand Prix 🇦🇷,R,20,1981-04-12,R,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,3,8,28,,0.0
1981 Belgian Grand Prix 🇧🇪,R,20,1981-05-17,R,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,5,11,29,,0.0
1981 Brazilian Grand Prix 🇧🇷,9,22,1981-03-29,R,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,2,12,0,,0.0
1981 British Grand Prix 🇬🇧,R,0,1981-07-18,F,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,9,14,0,,0.0
1981 Caesars Palace Grand Prix 🇺🇸,10,0,1981-10-17,F,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,15,20,0,,0.0
1981 Canadian Grand Prix 🇨🇦,F,0,1981-09-27,F,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,14,0,0,,0.0
1981 Dutch Grand Prix 🇳🇱,F,0,1981-08-30,F,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,12,0,0,,0.0
1981 French Grand Prix 🇫🇷,R,24,1981-07-05,W,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,8,17,0,,0.0
1981 German Grand Prix 🇩🇪,F,0,1981-08-02,F,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,10,0,0,,0.0
1981 Italian Grand Prix 🇮🇹,F,0,1981-09-13,F,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,13,0,0,,0.0
1981 Monaco Grand Prix 🇲🇨,F,0,1981-05-31,F,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,6,0,0,,0.0
1981 San Marino Grand Prix 🇮🇹,R,0,1981-05-03,F,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,4,15,0,,0.0
1981 Spanish Grand Prix 🇪🇸,12,21,1981-06-21,11,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,7,15,79,,0.0
1981 United States Grand Prix West 🇺🇸,R,18,1981-03-15,7,1981,Keke Rosberg 🇫🇮,Fittipaldi 🇧🇷,1,16,78,,0.0
1983 Brazilian Grand Prix 🇧🇷,6,23,1983-03-13,9,1983,Marc Surer 🇨🇭,Arrows 🇬🇧,1,20,62,,0.0
1983 French Grand Prix 🇫🇷,10,26,1983-04-17,R,1983,Marc Surer 🇨🇭,Arrows 🇬🇧,3,21,26,,0.0
1983 Monaco Grand Prix 🇲🇨,R,15,1983-05-15,7,1983,Marc Surer 🇨🇭,Arrows 🇬🇧,5,12,74,,0.0
1983 San Marino Grand Prix 🇮🇹,6,20,1983-05-01,8,1983,Marc Surer 🇨🇭,Arrows 🇬🇧,4,12,58,,0.0
